input	filtered	denoisedF	denoisedR	merged	nonchim
243	113160	92372	90855	91138	85270	79996
244	115084	92148	90836	90826	83466	77727
245	114785	90370	89241	89127	83823	76597
246	85040	69407	68153	68342	63800	60445
247	90064	71780	70824	70748	67145	64509
248	104873	86041	84472	84567	78104	74807
249	90975	73216	71661	71716	66596	65519
24	60699	50327	49650	49662	46087	44979
250	127358	106442	105249	105181	98980	92182
251	103313	84734	83256	83423	77218	70894
252	141486	117777	115798	116043	106903	98762
253	112524	85264	83804	83948	79087	77085
254	74284	62041	61390	61208	57665	54877
255	75590	59351	57838	58340	53106	51349
256	94355	69294	68076	68250	63653	61493
257	74251	55400	54216	54317	50186	49200
258	63592	48745	47903	47994	45128	44260
259	60499	47286	46247	46346	42952	41370
25	99123	78484	77523	77435	73430	71930
260	86344	65294	64261	64274	60005	57964
261	86809	69540	68701	68744	65321	57874
262	72886	55239	54426	54495	51462	47490
263	72820	56494	55306	55555	51386	50209
264	94519	73072	71977	71966	67259	63588
265	125881	105785	104150	104087	96072	90423
266	71544	59738	58628	58702	53695	49791
267	98727	81894	80876	80844	76102	71807
268	112030	88494	86832	86983	80773	77326
269	97951	78944	77303	77433	71440	69293
26	65737	53905	53610	53610	52410	51693
270	93995	77908	76548	76505	71060	67169
271	71376	58008	57086	57073	53967	53475
272	98538	80074	78679	78758	73998	72720
273	84201	69855	68574	68645	64339	62399
274	101596	85654	83833	83915	76890	75753
275	86413	70653	69297	69471	64601	59544
276	98546	82754	81528	81381	75674	71690
277	116009	94787	92621	92915	85286	83304
278	88938	75298	74038	74110	68144	62483
279	92617	77000	75853	75725	69301	63181
27	107996	89640	88492	88552	83063	78804
280	90093	72765	70902	71148	64945	63183
281	107423	86259	84987	84879	79726	77142
282	83455	70082	68944	69062	63758	56076
283	75393	62858	61509	61649	56352	54440
284	87228	70951	69806	69799	65306	62499
285	72734	57705	56669	56772	52679	51503
286	96283	74766	72970	73309	67417	65122
287	89292	74324	72797	72986	65938	61409
288	109711	90342	88885	88927	81439	72631
289	69584	55955	55547	55403	52522	49531
28	86970	72324	71429	71365	67143	66423
290	65049	50500	49412	49753	45997	43999
291	56096	43203	42329	42399	39573	38797
292	61668	46872	46378	46319	44533	43406
293	67962	57080	55999	56268	52629	50969
294	67186	51393	50720	50742	47677	46966
295	55077	42549	41973	41975	39439	39119
296	54161	42598	42070	41953	39953	39472
297	39521	29781	29090	29229	26753	26433
298	57650	44574	43878	43941	40873	39478
299	74186	58066	57302	57248	54560	52459
29	106793	87754	86138	86370	80467	77376
2	57928	46683	46122	46113	42817	42298
300	74153	58809	58385	58136	55274	53917
301	83371	66518	65608	65619	61966	59007
302	71029	55165	54328	54269	51758	50890
303	61661	46875	46345	46200	44387	43553
304	70727	56818	55814	55934	52193	51131
305	69443	57348	56210	56155	52334	51905
306	64756	51807	51024	51049	47941	46910
307	68724	53674	53011	52910	50546	48657
308	43248	34867	34070	34139	31726	31055
309	61848	49319	48522	48466	45087	44728
30	87165	73116	71981	72168	67605	65851
310	69085	53874	53056	52932	49390	48471
311	36590	28118	27564	27617	25408	24129
312	76113	60669	59561	59634	56241	54742
313	86573	70120	68951	69015	64327	60637
314	89226	70612	69482	69438	65534	64356
315	77721	59249	58647	58584	56082	54647
316	73403	60916	59590	59931	54653	51994
317	95253	78428	77032	77034	72070	69366
318	87882	71788	71012	70927	66774	64691
319	77158	61718	60811	60711	57260	56741
31	85544	70784	69997	69889	65326	61441
320	67802	53196	52593	52563	50276	49317
321	81533	66261	65422	65251	62020	60828
322	92423	74804	73518	73305	67620	66766
323	90200	73038	71946	71945	66909	66101
324	116557	94905	93444	93387	86826	82240
325	56704	43682	43140	43028	40564	40301
326	45306	33138	32406	32506	29990	29288
327	54115	41297	40461	40739	38265	37836
328	62989	48596	47510	47762	43864	41764
329	60324	47330	46894	46820	45247	44680
32	87819	71310	70373	70304	66351	65756
330	68910	52231	51491	51542	48826	47035
331	64090	49092	48539	48399	46055	44703
332	64125	51559	50736	50722	47753	46576
333	75830	60234	59409	59505	55630	53635
334	72346	55954	54941	54968	51333	50490
335	76345	60992	60186	60065	56108	55486
336	66343	49476	48846	48759	46390	45922
337	65355	53847	52716	52715	47389	45172
338	87263	70026	68590	68811	64508	62489
339	66483	53525	52472	52636	48172	46714
33	74196	59921	58969	59033	55947	55641
340	87367	72525	71310	71306	65827	61337
341	88148	70609	69838	69894	66592	65524
342	92003	74034	72681	72847	66314	63022
343	91220	73435	72890	72638	69977	64051
344	62253	51227	50295	50296	46177	44508
345	92771	71799	70952	70638	67032	67013
346	89659	70670	69348	69393	65133	64217
347	80837	66920	65939	65898	61508	60300
348	90054	70813	69753	69555	64494	63609
34	61997	51652	50854	50641	46267	45678
35	79992	66406	65701	65590	61799	61407
36	105409	86598	85488	85557	80633	78228
37	72693	52893	52193	52181	48655	47962
38	77866	62845	61830	61853	57593	56442
39	101629	86598	85557	85620	80285	77034
3	79227	63500	62916	62798	59392	58856
40	69343	54649	53947	53953	51207	50899
41	104693	78783	77899	77886	74910	74110
42	96979	77520	76564	76524	71679	67758
43	43079	31126	30635	30684	28606	28143
44	81299	62732	62008	61898	58564	58043
45	67447	52408	51520	51582	48402	47326
46	64104	51901	51397	51222	49077	48319
47	82392	64892	64146	64135	60954	60257
48	100058	76449	75590	75525	71115	70451
49	97294	79294	77796	77941	71326	66869
4	54931	42167	41609	41610	39295	38935
50	91877	75519	74710	74597	70843	69485
51	121759	99968	99162	98969	94734	90789
52	104956	87124	84622	85334	76446	68742
53	134883	110261	109198	109144	103880	96760
54	108838	90457	89529	89469	85664	84627
55	93163	74996	74137	73875	69283	68642
56	98134	79999	78301	78935	73409	71025
57	36736	26803	26500	26467	25710	25710
58	77202	63949	63066	63054	59472	58634
59	89461	73618	72360	72513	67984	65605
5	61906	47248	46368	46468	42513	41353
60	135667	114086	112463	112369	105941	101896
